title,sentiment
I was held hostage for 317 days. Here's what I thought about…,Negative
Planet City -- a sci-fi vision of an astonishing regenerative future,Positive
Progress is not a zero-sum game,Positive
How I'm making bricks out of ashes and rubble in Gaza,Positive
How vultures can help solve crimes,Positive
How we can curb climate change by spending two percent more on everything,Positive
"Every day you live, you impact the planet",Positive
The many reasons to eat a plant-based diet,Positive
How to build your creative confidence,Positive
You could have a secret twin (but not the way you think),Neutral
The evolution of the coffee cup lid,Neutral
Taking imagination seriously,Positive
Why people of different faiths are painting their houses of worship yellow,Positive
Why bats don't get sick,Neutral
How I help transgender teens become who they want to be,Positive
Virtualizing employment in Saudi Arabia,Neutral
My desperate journey with a human smuggler,Negative
How work kept me going during my cancer treatment,Positive
How I live with high-functioning anxiety,Negative
The billion-dollar pollution solution humanity needs right now,Positive
The strange tale of the Norden bombsight,Neutral
The mysterious microbes living deep inside the earth -- and how they could help humanity,Positive
"3 ways to lead tough, unavoidable conversations",Neutral
How China is changing the future of shopping,Positive
Take Turns,Neutral
This one weird trick will get you infinite gold,Neutral
Invest in social change,Positive
" How to think computationally about AI, the universe and everything",Neutral
Greening the ghetto,Positive
What businesses can learn from refugee communities,Positive
¿Cuándo te importa mi silla de ruedas?,Neutral
La música de las ideas,Positive
The shared experience of absurdity,Neutral
The secret life of dogs,Positive
How to find creativity and purpose in the face of adversity,Positive
How health workers are responding to the COVID-19 pandemic,Neutral
We're worried about local warming ... in your lap,Negative
How I define beauty,Positive
A playful exploration of gender performance,Neutral
Climate action needs new frontline leadership,Positive
"What causes dandruff, and how do you get rid of it?",Neutral
How supply chain transparency can help the planet,Positive
Fossil fuel companies know how to stop global warming. Why don't they?,Negative
How climate change affects your mental health,Negative
Curating humanity's heritage,Positive
The electrifying speeches of Sojourner Truth,Positive
Winning the oil endgame,Positive
The birds and the bees are just the beginning,Neutral
A king cobra bite -- and a scientific discovery,Neutral
The myth of Loki and the master builder,Neutral
A historical musical that examines Black identity in the 1901 World's Fair,Neutral
Why are we so bad at reporting good news?,Negative
A brain in a supercomputer,Neutral
Could human civilization spread across the whole galaxy?,Positive
Could a drug prevent depression and PTSD?,Positive
How Black queer culture shaped history,Positive
